series,axis_cells,regions,ranks,mode,stage,samples,seconds_max_rank_median,seconds_max_rank_min,seconds_max_rank_max,peak_rss_bytes_max_rank_median,peak_rss_bytes_max_rank_min,peak_rss_bytes_max_rank_max,measured_mesh_bytes_max_rank_median,measured_mesh_bytes_max_rank_min,measured_mesh_bytes_max_rank_max,compatibility_bytes_max_rank_median,compatibility_bytes_max_rank_min,compatibility_bytes_max_rank_max,ghost_owned_ratio_max_rank_median,ghost_owned_ratio_max_rank_min,ghost_owned_ratio_max_rank_max
main,16,2,1,composite,application_average,1,1.17662e-05,1.17662e-05,1.17662e-05,54255616,54255616,54255616,13376,13376,13376,0,0,0,0,0,0
main,16,2,1,composite,assembly,1,0.040827917,0.040827917,0.040827917,54255616,54255616,54255616,13376,13376,13376,0,0,0,0,0,0
main,16,2,1,composite,construction,1,0.002212533,0.002212533,0.002212533,50470912,50470912,50470912,13376,13376,13376,0,0,0,0,0,0
main,16,2,1,composite,execution_view_setup,1,4.04e-07,4.04e-07,4.04e-07,50470912,50470912,50470912,13376,13376,13376,0,0,0,0,0,0
main,16,2,1,composite,native_region_traversal_average,1,0.0003101666,0.0003101666,0.0003101666,50470912,50470912,50470912,13376,13376,13376,0,0,0,0,0,0
main,16,2,1,composite,output,1,0.007916767,0.007916767,0.007916767,57573376,57573376,57573376,13376,13376,13376,0,0,0,0,0,0
main,16,2,1,composite,solve_including_preconditioner,1,0.001814487,0.001814487,0.001814487,56786944,56786944,56786944,13376,13376,13376,0,0,0,0,0,0
main,16,2,1,composite,traversal_average,1,0.0096150812,0.0096150812,0.0096150812,50470912,50470912,50470912,13376,13376,13376,0,0,0,0,0,0
main,16,2,1,flattened,application_average,1,1.36114e-05,1.36114e-05,1.36114e-05,59297792,59297792,59297792,3209800,3209800,3209800,0,0,0,0,0,0
main,16,2,1,flattened,assembly,1,0.003852569,0.003852569,0.003852569,58904576,58904576,58904576,3209800,3209800,3209800,0,0,0,0,0,0
main,16,2,1,flattened,construction,1,0.009159729,0.009159729,0.009159729,55824384,55824384,55824384,3209800,3209800,3209800,0,0,0,0,0,0
main,16,2,1,flattened,execution_view_setup,1,2.576e-06,2.576e-06,2.576e-06,56086528,56086528,56086528,3209800,3209800,3209800,0,0,0,0,0,0
main,16,2,1,flattened,output,1,0.007065651,0.007065651,0.007065651,61722624,61722624,61722624,3209800,3209800,3209800,0,0,0,0,0,0
main,16,2,1,flattened,solve_including_preconditioner,1,0.001756265,0.001756265,0.001756265,61722624,61722624,61722624,3209800,3209800,3209800,0,0,0,0,0,0
main,16,2,1,flattened,traversal_average,1,0.0007048474,0.0007048474,0.0007048474,56086528,56086528,56086528,3209800,3209800,3209800,0,0,0,0,0,0
main,16,2,1,materialized,application_average,1,1.2335e-05,1.2335e-05,1.2335e-05,59478016,59478016,59478016,680952,680952,680952,131080,131080,131080,0,0,0
main,16,2,1,materialized,assembly,1,0.041727809,0.041727809,0.041727809,59068416,59068416,59068416,680952,680952,680952,131080,131080,131080,0,0,0
main,16,2,1,materialized,construction,1,0.017881358,0.017881358,0.017881358,55480320,55480320,55480320,680952,680952,680952,131080,131080,131080,0,0,0
main,16,2,1,materialized,execution_view_setup,1,1.291e-06,1.291e-06,1.291e-06,55611392,55611392,55611392,680952,680952,680952,131080,131080,131080,0,0,0
main,16,2,1,materialized,native_region_traversal_average,1,0.0002807008,0.0002807008,0.0002807008,55611392,55611392,55611392,680952,680952,680952,131080,131080,131080,0,0,0
main,16,2,1,materialized,output,1,0.00790097,0.00790097,0.00790097,62558208,62558208,62558208,680952,680952,680952,131080,131080,131080,0,0,0
main,16,2,1,materialized,solve_including_preconditioner,1,0.001631081,0.001631081,0.001631081,62033920,62033920,62033920,680952,680952,680952,131080,131080,131080,0,0,0
main,16,2,1,materialized,traversal_average,1,0.0027857128,0.0027857128,0.0027857128,55611392,55611392,55611392,680952,680952,680952,131080,131080,131080,0,0,0
main,16,2,1,native,application_average,1,1.27308e-05,1.27308e-05,1.27308e-05,54259712,54259712,54259712,10480,10480,10480,0,0,0,0,0,0
main,16,2,1,native,assembly,1,0.00409547,0.00409547,0.00409547,54259712,54259712,54259712,10480,10480,10480,0,0,0,0,0,0
main,16,2,1,native,construction,1,0.000266014,0.000266014,0.000266014,50159616,50159616,50159616,10480,10480,10480,0,0,0,0,0,0
main,16,2,1,native,execution_view_setup,1,2.49e-07,2.49e-07,2.49e-07,50159616,50159616,50159616,10480,10480,10480,0,0,0,0,0,0
main,16,2,1,native,output,1,0.007247339,0.007247339,0.007247339,57102336,57102336,57102336,10480,10480,10480,0,0,0,0,0,0
main,16,2,1,native,solve_including_preconditioner,1,0.001936795,0.001936795,0.001936795,56578048,56578048,56578048,10480,10480,10480,0,0,0,0,0,0
main,16,2,1,native,traversal_average,1,0.0007965272,0.0007965272,0.0007965272,50159616,50159616,50159616,10480,10480,10480,0,0,0,0,0,0
main,32,1,1,composite,application_average,1,0.0001457272,0.0001457272,0.0001457272,62021632,62021632,62021632,30432,30432,30432,0,0,0,0,0,0
main,32,1,1,composite,assembly,1,0.104030976,0.104030976,0.104030976,62021632,62021632,62021632,30432,30432,30432,0,0,0,0,0,0
main,32,1,1,composite,construction,1,0.002580038,0.002580038,0.002580038,50814976,50814976,50814976,30432,30432,30432,0,0,0,0,0,0
main,32,1,1,composite,execution_view_setup,1,3.63e-07,3.63e-07,3.63e-07,50946048,50946048,50946048,30432,30432,30432,0,0,0,0,0,0
main,32,1,1,composite,native_region_traversal_average,1,0.0021478724,0.0021478724,0.0021478724,50946048,50946048,50946048,30432,30432,30432,0,0,0,0,0,0
main,32,1,1,composite,output,1,0.065842917,0.065842917,0.065842917,68571136,68571136,68571136,30432,30432,30432,0,0,0,0,0,0
main,32,1,1,composite,solve_including_preconditioner,1,0.025756599,0.025756599,0.025756599,62021632,62021632,62021632,30432,30432,30432,0,0,0,0,0,0
main,32,1,1,composite,traversal_average,1,0.0494014578,0.0494014578,0.0494014578,50946048,50946048,50946048,30432,30432,30432,0,0,0,0,0,0
main,32,1,1,flattened,application_average,1,0.0001060356,0.0001060356,0.0001060356,97685504,97685504,97685504,25415368,25415368,25415368,0,0,0,0,0,0
main,32,1,1,flattened,assembly,1,0.030980041,0.030980041,0.030980041,97136640,97136640,97136640,25415368,25415368,25415368,0,0,0,0,0,0
main,32,1,1,flattened,construction,1,0.076112764,0.076112764,0.076112764,91402240,91402240,91402240,25415368,25415368,25415368,0,0,0,0,0,0
main,32,1,1,flattened,execution_view_setup,1,5.32e-07,5.32e-07,5.32e-07,91402240,91402240,91402240,25415368,25415368,25415368,0,0,0,0,0,0
main,32,1,1,flattened,output,1,0.054901401,0.054901401,0.054901401,102150144,102150144,102150144,25415368,25415368,25415368,0,0,0,0,0,0
main,32,1,1,flattened,solve_including_preconditioner,1,0.024926358,0.024926358,0.024926358,100052992,100052992,100052992,25415368,25415368,25415368,0,0,0,0,0,0
main,32,1,1,flattened,traversal_average,1,0.0060296098,0.0060296098,0.0060296098,91402240,91402240,91402240,25415368,25415368,25415368,0,0,0,0,0,0
main,32,1,1,materialized,application_average,1,0.0001059488,0.0001059488,0.0001059488,100024320,100024320,100024320,5160960,5160960,5160960,1048584,1048584,1048584,0,0,0
main,32,1,1,materialized,assembly,1,0.116458811,0.116458811,0.116458811,99631104,99631104,99631104,5160960,5160960,5160960,1048584,1048584,1048584,0,0,0
main,32,1,1,materialized,construction,1,2.191143833,2.191143833,2.191143833,89473024,89473024,89473024,5160960,5160960,5160960,1048584,1048584,1048584,0,0,0
main,32,1,1,materialized,execution_view_setup,1,1.206e-06,1.206e-06,1.206e-06,89604096,89604096,89604096,5160960,5160960,5160960,1048584,1048584,1048584,0,0,0
main,32,1,1,materialized,native_region_traversal_average,1,0.0023907604,0.0023907604,0.0023907604,89604096,89604096,89604096,5160960,5160960,5160960,1048584,1048584,1048584,0,0,0
main,32,1,1,materialized,output,1,0.06306289,0.06306289,0.06306289,106315776,106315776,106315776,5160960,5160960,5160960,1048584,1048584,1048584,0,0,0
main,32,1,1,materialized,solve_including_preconditioner,1,0.025078512,0.025078512,0.025078512,102252544,102252544,102252544,5160960,5160960,5160960,1048584,1048584,1048584,0,0,0
main,32,1,1,materialized,traversal_average,1,0.0050869164,0.0050869164,0.0050869164,89604096,89604096,89604096,5160960,5160960,5160960,1048584,1048584,1048584,0,0,0
main,32,1,1,native,application_average,1,0.0001202998,0.0001202998,0.0001202998,62169088,62169088,62169088,31024,31024,31024,0,0,0,0,0,0
main,32,1,1,native,assembly,1,0.031592186,0.031592186,0.031592186,62169088,62169088,62169088,31024,31024,31024,0,0,0,0,0,0
main,32,1,1,native,construction,1,0.000421087,0.000421087,0.000421087,50700288,50700288,50700288,31024,31024,31024,0,0,0,0,0,0
main,32,1,1,native,execution_view_setup,1,2.487e-06,2.487e-06,2.487e-06,50831360,50831360,50831360,31024,31024,31024,0,0,0,0,0,0
main,32,1,1,native,output,1,0.058031287,0.058031287,0.058031287,66519040,66519040,66519040,31024,31024,31024,0,0,0,0,0,0
main,32,1,1,native,solve_including_preconditioner,1,0.023043241,0.023043241,0.023043241,62169088,62169088,62169088,31024,31024,31024,0,0,0,0,0,0
main,32,1,1,native,traversal_average,1,0.0060833296,0.0060833296,0.0060833296,50831360,50831360,50831360,31024,31024,31024,0,0,0,0,0,0
main,32,2,1,composite,application_average,1,0.00010575,0.00010575,0.00010575,61456384,61456384,61456384,34048,34048,34048,0,0,0,0,0,0
main,32,2,1,composite,assembly,1,0.379409333,0.379409333,0.379409333,61456384,61456384,61456384,34048,34048,34048,0,0,0,0,0,0
main,32,2,1,composite,construction,1,0.014700888,0.014700888,0.014700888,50388992,50388992,50388992,34048,34048,34048,0,0,0,0,0,0
main,32,2,1,composite,execution_view_setup,1,2.66e-07,2.66e-07,2.66e-07,50520064,50520064,50520064,34048,34048,34048,0,0,0,0,0,0
main,32,2,1,composite,native_region_traversal_average,1,0.0022092438,0.0022092438,0.0022092438,50520064,50520064,50520064,34048,34048,34048,0,0,0,0,0,0
main,32,2,1,composite,output,1,0.064566409,0.064566409,0.064566409,68182016,68182016,68182016,34048,34048,34048,0,0,0,0,0,0
main,32,2,1,composite,solve_including_preconditioner,1,0.024201589,0.024201589,0.024201589,61497344,61497344,61497344,34048,34048,34048,0,0,0,0,0,0
